,tout,s,i,t1,t2,t3,sp0,m,rh
0,-2.29166666667,0.0,9164.36578742,22.4686207223,20.0000075021,22.8179951924,24.0,1.72945130653,0.0
1,-1.78333333333,0.0,9164.36578742,22.1990098885,19.9996574613,22.6385920782,24.0,1.72945130653,0.0
2,-1.275,0.0,9164.36578742,21.9837083919,19.9996584489,22.4530490907,24.0,1.72945130653,0.0
3,-0.766666666667,0.0,9164.36578742,21.8252007368,19.9999891799,22.304199126,24.0,1.72945130653,0.0
4,-0.258333333333,0.0,9164.36578742,21.7241211128,19.9997301373,22.2237292851,24.0,1.72945130653,0.0
5,0.25,0.0,9164.36578742,21.6461548391,19.9992129334,22.190436763,24.0,1.72945130653,0.0
6,0.758333333333,0.0,9164.36578742,21.5741772099,19.9992326192,22.1737795328,24.0,1.72945130653,0.0
7,1.26666666667,0.0,9164.36578742,21.5045453733,19.9991381425,22.1586696122,24.0,1.72945130653,0.0
8,1.775,0.0,9164.36578742,21.4426811108,19.9991088335,22.1433375094,24.0,1.72945130653,0.0
9,2.28333333333,0.0,9164.36578742,21.3883810719,19.9997369417,22.1300124147,24.0,1.72945130653,0.0
10,2.79166666667,0.0,9164.36578742,21.3391375703,19.9990480679,22.1199116702,24.0,1.72945130653,0.0
11,3.3,0.0,9164.36578742,21.293766532,19.9995599403,22.1128414945,24.0,1.72945130653,0.0
12,3.20833333333,0.0,9164.36578742,21.2548148706,20.1448525355,22.1096941289,24.15,1.72945130653,0.0
13,3.11666666667,0.0,9164.36578742,21.204391888,20.1494690413,22.0999832122,24.15,1.72945130653,0.0
14,3.025,0.0,9164.36578742,21.1591436961,20.1494685908,22.0896660927,24.15,1.72945130653,0.0
15,2.93333333333,0.0,9164.36578742,21.1226215043,20.1497090938,22.0834356273,24.15,1.72945130653,0.0
16,2.84166666667,0.0,9164.36578742,21.0843580033,20.1493143705,22.0776225081,24.15,1.72945130653,0.0
17,2.75,0.0,9164.36578742,21.0467521854,20.1495844588,22.0718740545,24.15,1.72945130653,0.0
18,2.65833333333,0.0,9164.36578742,21.010755794,20.1492941902,22.0661442374,24.15,1.72945130653,0.0
19,2.56666666667,0.0,9164.36578742,20.9759719327,20.150007432,22.0604480027,24.15,1.72945130653,0.0
20,2.475,0.0,9164.36578742,20.9422926917,20.1495311702,22.0549390394,24.15,1.72945130653,0.0
21,2.38333333333,0.0,9164.36578742,20.9094364973,20.1493778582,22.0495373499,24.15,1.72945130653,0.0
22,2.29166666667,0.0,9164.36578742,20.8772237178,20.1489078178,22.0440970783,24.15,1.72945130653,0.0
23,2.2,0.0,9164.36578742,20.8460182968,20.1499490285,22.0387480195,24.15,1.72945130653,0.0
24,2.10833333333,0.0,9054.28174993,20.8078803645,20.3032286046,22.0250471323,24.31,1.72945130653,0.0
25,2.01666666667,0.0,9054.28174993,20.7708772532,20.3098548167,22.0087565099,24.31,1.72945130653,0.0
26,1.925,0.0,9054.28174993,20.7423850334,20.3100192044,21.9980938179,24.31,1.72945130653,0.0
27,1.83333333333,0.0,9054.28174993,20.712922441,20.3087457783,21.9901322278,24.31,1.72945130653,0.0
28,1.74166666667,0.0,9054.28174993,20.6828124141,20.3095291442,21.9828299813,24.31,1.72945130653,0.0
29,1.65,0.0,9054.28174993,20.653228099,20.3098347243,21.9753383333,24.31,1.72945130653,0.0
30,1.55833333333,0.0,9054.28174993,20.6245611439,20.3093615978,21.9677936875,24.31,1.72945130653,0.0
31,1.46666666667,0.0,9054.28174993,20.5964397204,20.3094742762,21.9604081312,24.31,1.72945130653,0.0
32,1.375,0.0,9054.28174993,20.568627054,20.3092871291,21.9532143659,24.31,1.72945130653,0.0
33,1.28333333333,0.0,9054.28174993,20.5411824174,20.3093749378,21.9461818557,24.31,1.72945130653,0.0
34,1.19166666667,0.0,9054.28174993,20.5141081733,20.3098378927,21.9392495257,24.31,1.72945130653,0.0
35,1.1,0.0,9054.28174993,20.4873868547,20.3104143863,21.932389957,24.31,1.72945130653,0.0
36,1.1,0.0,9054.28174993,20.4630647066,20.3869625513,21.926861909,24.39,1.72945130653,0.0
37,1.1,0.0,9054.28174993,20.4374043911,20.3891484662,21.9209661522,24.39,1.72945130653,0.0
38,1.1,0.0,9054.28174993,20.4145239495,20.3894750622,21.9164671039,24.39,1.72945130653,0.0
39,1.1,0.0,9054.28174993,20.3978329242,20.3895098034,21.912159286,24.39,1.72945130653,39.2045187867
40,1.1,0.0,9054.28174993,20.3963843999,20.3899358357,21.9079142002,24.39,1.72945130653,147.118570586
41,1.1,0.0,9054.28174993,20.3958579286,20.3905213783,21.9037628701,24.39,1.72945130653,215.509979139
42,1.1,0.0,9054.28174993,20.3921906033,20.3889486952,21.8997635223,24.39,1.72945130653,282.052474548
43,1.1,0.0,9054.28174993,20.3878316883,20.3892486333,21.8959580797,24.39,1.72945130653,347.105031905
44,1.1,0.0,9054.28174993,20.3945389245,20.39030142,21.8922728731,24.39,1.72945130653,473.565941734
45,1.1,0.0,9054.28174993,20.3922758607,20.3889072887,21.8887183543,24.39,1.72945130653,504.51976849
46,1.1,0.0,9054.28174993,20.3921114632,20.3890377692,21.8853279973,24.39,1.72945130653,595.985158805
47,1.1,0.0,9054.28174993,20.3915109552,20.3898259459,21.8820292837,24.39,1.72945130653,655.891842505
48,1.15,0.0,9054.28174993,20.4368680918,20.4468025414,21.8787025656,24.45,1.72945130653,1000.06012235
49,1.2,0.0,9054.28174993,20.450285975,20.4499576194,21.8740647118,24.45,1.72945130653,1000.17958725
50,1.25,0.0,9054.28174993,20.4538210446,20.448685794,21.869974353,24.45,1.72945130653,1109.79971844
51,1.3,0.0,9054.28174993,20.4534053359,20.4493663813,21.8660263199,24.45,1.72945130653,1163.87515977
52,1.35,0.0,9054.28174993,20.4519793487,20.4500494806,21.8621651635,24.45,1.72945130653,1217.37314159
53,1.4,0.0,9054.28174993,20.4504156048,20.4492350506,21.8584216881,24.45,1.72945130653,1270.35807085
54,1.45,0.0,9054.28174993,20.4487849018,20.449117261,21.8548086034,24.45,1.72945130653,1322.84450109
55,1.5,0.0,9054.28174993,20.4556577305,20.4503005085,21.8512851512,24.45,1.72945130653,1426.38384584
56,1.55,0.0,9054.28174993,20.4503462648,20.4502843636,21.8478455501,24.45,1.72945130653,1426.38540802
57,1.6,0.0,9054.28174993,20.45269634,20.4505004591,21.8445270927,24.45,1.72945130653,1528.07854226
58,1.65,0.0,9054.28174993,20.4550963731,20.4497283921,21.8412985969,24.45,1.72945130653,1578.26777299
59,1.7,0.0,9054.28174993,20.4545607607,20.4497068811,21.8381682035,24.45,1.72945130653,1628.02406897
60,1.7,0.0,11303.8541681,20.4143540101,20.3907344633,21.8356695818,24.39,1.72945130653,1163.93001064
61,1.7,0.0,11303.8541681,20.3995511881,20.3900032383,21.8352164212,24.39,1.72945130653,1109.75611657
62,1.7,0.0,11303.8541681,20.3935992093,20.3896265016,21.8346442939,24.39,1.72945130653,1055.29987403
63,1.7,0.0,11303.8541681,20.3922717954,20.3889423464,21.8342810538,24.39,1.72945130653,1055.24838466
64,1.7,0.0,11303.8541681,20.3907406797,20.3892312081,21.8339880663,24.39,1.72945130653,1055.25870076
65,1.7,0.0,11303.8541681,20.3967250745,20.3887404912,21.8337218778,24.39,1.72945130653,1109.84098628
66,1.7,0.0,11303.8541681,20.397831246,20.3890651577,21.8335120621,24.39,1.72945130653,1109.83892368
67,1.7,0.0,11303.8541681,20.393474183,20.3886913546,21.8333327666,24.39,1.72945130653,1109.84126557
68,1.7,0.0,11303.8541681,20.3966177233,20.3892050593,21.8331975683,24.39,1.72945130653,1163.87157789
69,1.7,0.0,11303.8541681,20.3960260093,20.389010458,21.833075541,24.39,1.72945130653,1163.87404885
70,1.7,0.0,11303.8541681,20.3905578418,20.3896588428,21.8329858888,24.39,1.72945130653,1163.87200874
71,1.7,0.0,11303.8541681,20.3925668671,20.389560267,21.8329045339,24.39,1.72945130653,1217.37647225
72,1.74166666667,0.0,22248.6345274,20.6629936318,20.4943774288,22.0138371467,24.5,1.72945130653,0.0
73,1.78333333333,0.0,22248.6345274,20.9081814874,20.4995616966,22.202241644,24.5,1.72945130653,0.0
74,1.825,0.0,22248.6345274,21.0162753885,20.4988156951,22.3049890261,24.5,1.72945130653,0.0
75,1.86666666667,0.0,22248.6345274,21.0645258355,20.498660896,22.3375949221,24.5,1.72945130653,0.0
76,1.90833333333,0.0,22248.6345274,21.1118076582,20.4986787654,22.3462615081,24.5,1.72945130653,0.0
77,1.95,0.0,22248.6345274,21.1611776632,20.4996845526,22.3567939977,24.5,1.72945130653,0.0
78,1.99166666667,0.0,22248.6345274,21.2038466756,20.4995062341,22.3725669627,24.5,1.72945130653,0.0
79,2.03333333333,0.0,22248.6345274,21.2389658609,20.499601691,22.3891301695,24.5,1.72945130653,0.0
80,2.075,0.0,22248.6345274,21.2691592837,20.4985750246,22.4033924402,24.5,1.72945130653,0.0
81,2.11666666667,0.0,22248.6345274,21.2962306477,20.5000332518,22.4152341839,24.5,1.72945130653,0.0
82,2.15833333333,0.0,22248.6345274,21.3205354106,20.5004346705,22.4255808748,24.5,1.72945130653,0.0
83,2.2,0.0,22248.6345274,21.3423708263,20.5004276624,22.4352021123,24.5,1.72945130653,0.0
84,2.2,0.0,28469.8089146,21.5662856544,20.6524100461,22.5040620119,25.0,1.72945130653,0.0
85,2.2,0.0,28469.8089146,21.7556145562,20.8302923238,22.5812870344,25.0,1.72945130653,0.0
86,2.2,0.0,28469.8089146,21.8479268883,20.9543109306,22.6323253932,25.0,1.72945130653,0.0
87,2.2,0.0,28469.8089146,21.8992235395,20.9976009778,22.6579617838,25.0,1.72945130653,0.0
88,2.2,0.0,28469.8089146,21.9492805104,20.9997528775,22.6725879786,25.0,1.72945130653,0.0
89,2.2,0.0,28469.8089146,21.999624411,20.9986260718,22.6858436972,25.0,1.72945130653,0.0
90,2.2,94.25,28469.8089146,22.0782570445,21.0003152899,22.7020473466,25.0,1.72945130653,0.0
