,Unnamed: 0,tout,m,gas,q,dt
0,0,-2.575,0.4758650427352595,122607.607757305,78930.83009356265,39.4924045610907
1,1,-3.45,0.5099973222745285,131473.429731963,84638.37330702637,39.51392049404209
2,2,-4.325,0.5459516629105327,140148.72875950902,90645.0563813038,39.531258438166105
3,3,-5.2,0.5836885491651186,147090.432562919,96940.45491794636,39.5434529729309
4,4,-6.075,0.6223920583786853,154059.967298452,103384.13004016835,39.549458778932795
5,5,-6.95,0.6631393334566871,161330.200798615,110149.34623922713,39.5483022883856
6,6,-7.825,0.7051221323206369,168807.12508727598,117094.79215042213,39.5388417677543
7,7,-8.7,0.7485350791037878,176498.08210550394,124245.14038879742,39.5200934583659
8,8,-9.575,0.7926633720227628,184242.95580117602,131473.09528297972,39.4910614383984
9,9,-10.45,0.8427326793695804,193145.481552867,139632.23169394818,39.449958764872
10,10,-11.325,0.9053726264142244,204242.25188872105,149790.66094785873,39.3920050621305
11,11,-12.2,0.9594180698370192,213740.773655711,158422.7821818773,39.3151966063259
12,12,-12.158333333333301,0.965602364476404,214333.00629035,159101.10487358447,39.23065729715
13,13,-12.1166666666667,0.9719645195481018,214986.91777839602,159802.8189349478,39.1457604237411
14,14,-12.075,0.9780402085230144,215580.51271229397,160452.89035434954,39.0608369666931
15,15,-12.033333333333301,0.9837205135637596,216151.883229977,161035.25312561644,38.976240106825294
16,16,-11.9916666666667,0.9890301820811246,216641.35582533397,161554.3556097806,38.8919604893093
17,17,-11.95,0.9919775115682892,216714.11122357,161687.69409837484,38.808410044054106
18,18,-11.908333333333301,0.9815883238413688,214391.56924964802,159670.6697966492,38.7299086782975
19,19,-11.8666666666667,0.98544835521166,214603.944170334,159994.3267680793,38.656401549882496
20,20,-11.825,0.9881649632119488,214761.119692077,160132.92807281105,38.58352507505961
21,21,-11.783333333333301,0.991241922027572,214840.63392172105,160332.73017448385,38.5117484612313
22,22,-11.7416666666667,0.9939014417696368,214918.538296369,160467.93243669195,38.4410857802339
23,23,-11.7,0.996419980208538,215039.99643031397,160582.3536801753,38.3712636165457
24,24,-11.65,0.9919744382744322,213859.252826023,159584.20912098812,38.3036485627568
25,25,-11.6,0.9858901801565282,212394.33868383305,158339.34806050634,38.239395761428
26,26,-11.55,0.9802817912637338,211095.547110813,157187.77374675867,38.178471485885204
27,27,-11.5,0.9750688405244085,209906.521100318,156115.5892700405,38.1207734806066
28,28,-11.45,0.9690291343193084,208546.896161247,154926.3107843787,38.066158742827504
29,29,-11.4,0.9631208156451136,207186.364355707,153773.67910483867,38.01473308903979
30,30,-11.35,0.9574353702356432,205961.435628152,152671.08964907512,37.966280096075295
31,31,-11.3,0.9515482933284932,204680.83410777606,151549.94603892494,37.9206402223052
32,32,-11.25,0.9447509996701609,203274.16417991606,150298.07800064774,37.8779770323763
33,33,-11.2,0.9391095914901242,202052.238247832,149243.04526635935,37.8380315979617
34,34,-11.15,0.9327034624173168,200757.548614725,148079.18891105027,37.800813614811396
35,35,-11.1,0.9265123664642402,199503.96474134695,146961.66135273591,37.766222035636396
36,36,-11.1,0.937659962031394,201303.82392401,148594.0973519579,37.7317454313751
37,37,-11.1,0.9487279939555312,203090.69328823895,150201.44363215225,37.69494387399939
38,38,-11.1,0.9600295386022945,204847.034298673,151833.1490191743,37.6558723589921
39,39,-11.1,0.9710031718911736,206587.597899195,153399.7741990456,37.614455667062394
40,40,-11.1,0.982508533908592,208392.501378913,155037.13848616285,37.5707722910238
41,41,-11.1,0.9936570117279732,210112.040863325,156604.8395033582,37.5248864631636
42,42,-11.1,1.0054430755656207,211880.54235381895,158259.38678544582,37.476817229348796
43,43,-11.1,1.0180056472195853,213746.60127224305,160022.35658828152,37.4266696815579
44,44,-11.1,1.0302292064576093,215577.96455008895,161719.07209579038,37.374732471023705
45,45,-11.1,1.0416774886206064,217249.189850763,163280.36693558632,37.320838999109405
46,46,-11.1,1.0543515523938023,219163.969309944,165019.27165888954,37.264897734272104
47,47,-11.1,1.0652879085049938,220652.962647354,166471.9940189556,37.20702050186321
48,48,-11.058333333333302,1.0679115523912297,220811.20969881106,166620.58951223374,37.148740307802704
49,49,-11.016666666666698,1.0700651773310663,220858.109229497,166700.51176439712,37.091757474192
50,50,-10.975,1.0697978518861402,220500.69084756,166407.56165350412,37.0358268554048
51,51,-10.933333333333302,1.0727337743443284,220706.87391714894,166620.12215262762,36.981643166437394
52,52,-10.891666666666698,1.0738088712103415,220542.941506886,166546.6400767593,36.928324012020894
53,53,-10.85,1.0753537250742224,220562.67279878398,166550.50907386446,36.87612939648099
54,54,-10.808333333333302,1.07631685948165,220437.054168473,166469.6212292104,36.8252376175556
55,55,-10.766666666666698,1.0775619148492852,220338.733673212,166437.4032310795,36.7755695558335
56,56,-10.725,1.078332821836438,220190.33891760398,166336.5450543378,36.727009042723
